spo2,heartrate
87.5087,2685.0712,11024.0000
87.5116,2685.0712,10544.0000
87.5140,2758.9662,10576.0000
87.5172,4215.5580,11088.0000
87.5199,4215.5580,10616.0000
87.5229,3529.4452,11040.0000
87.5254,3529.4452,10624.0000
87.5283,3180.4847,11048.0000
87.5306,3180.4847,10688.0000
87.5334,2995.2630,11056.0000
87.5356,2995.2630,10696.0000
87.5375,2907.0085,10736.0000
87.5399,4148.1957,11056.0000
87.5419,4148.1957,10768.0000
87.5442,3489.0587,11072.0000
87.5461,3489.0587,10776.0000
87.5483,3139.7484,11056.0000
87.5500,3139.7484,10768.0000
87.5513,3139.7484,10736.0000
87.5528,2494.0032,10920.0000
87.5540,2494.0032,10768.0000
87.5551,2494.0032,10760.0000
87.5557,2494.0032,10600.0000
87.5564,2494.0032,10760.0000
87.5567,2494.0032,10544.0000
87.5572,1709.8360,10784.0000
87.5578,1709.8360,10792.0000
87.5580,1709.8360,10544.0000
87.5583,1768.2990,10776.0000
87.5583,1768.2990,10576.0000
87.5585,2246.4855,10792.0000
87.5584,2246.4855,10616.0000
87.5585,2495.1730,10816.0000
87.5587,2495.1730,10792.0000
87.5587,2495.1730,10688.0000
87.5587,2155.4394,10784.0000
87.5585,2155.4394,10696.0000
87.5584,2155.4394,10816.0000
87.5582,2155.4394,10736.0000
87.5581,2155.4394,10824.0000
87.5580,2155.4394,10824.0000
87.5578,2155.4394,10776.0000
87.5575,2155.4394,10832.0000
87.5572,2155.4394,10768.0000
87.5569,1378.1012,10832.0000
87.5565,1378.1012,10824.0000
87.5560,1378.1012,10768.0000
87.5556,1378.1012,10864.0000
87.5550,1378.1012,10760.0000
87.5544,1227.9211,10848.0000
87.5539,1227.9211,10840.0000
87.5532,1227.9211,10784.0000
87.5525,1500.5116,10856.0000
87.5519,1500.5116,10896.0000
87.5512,1500.5116,10776.0000
87.5504,1634.5594,10856.0000
87.5495,1634.5594,10792.0000
87.5487,1634.5594,10864.0000
87.5478,1634.5594,10816.0000
87.5468,1634.5594,10792.0000
87.5456,1634.5594,10736.0000
87.5445,1257.4399,10784.0000
87.5430,1257.4399,10528.0000
87.5412,1257.4399,10408.0000
87.5398,1510.8394,10824.0000
87.5379,1510.8394,10336.0000
87.5364,2050.9802,10824.0000
87.5344,2050.9802,10304.0000
87.5323,2050.9802,10336.0000
87.5306,1893.9729,10832.0000
87.5286,1893.9729,10352.0000
87.5269,2258.6339,10824.0000
87.5249,2258.6339,10400.0000
87.5228,2413.3436,10432.0000
87.5211,3788.8719,10848.0000
87.5191,3788.8719,10456.0000
87.5174,3173.6445,10840.0000
87.5155,3173.6445,10496.0000
87.5135,3173.6445,10520.0000
87.5117,2451.5999,10896.0000
87.5099,2451.5999,10560.0000
87.5082,2494.3525,10856.0000
87.5063,2494.3525,10576.0000
87.5042,2494.3525,10552.0000
87.5024,2097.8298,10816.0000
87.5004,2097.8298,10576.0000
87.4983,2097.8298,10528.0000
87.4961,2097.8298,10528.0000
87.4939,2097.8298,10512.0000
87.4915,2097.8298,10408.0000
87.4892,1473.2791,10504.0000
87.4868,1473.2791,10512.0000
87.4843,1473.2791,10304.0000
87.4819,1577.4703,10520.0000
87.4795,3315.2637,10536.0000
87.4770,3315.2637,10352.0000
87.4746,2925.8091,10536.0000
87.4721,2925.8091,10400.0000
87.4697,2709.4765,10552.0000
87.4673,3901.2114,10568.0000
87.4649,3901.2114,10456.0000
87.4625,3196.2977,10600.0000
87.4602,3196.2977,10568.0000
87.4578,3196.2977,10520.0000
87.4555,2434.5256,10584.0000
87.4531,2434.5256,10560.0000
87.4508,2434.5256,10616.0000
87.4484,2434.5256,10584.0000
87.4460,2434.5256,10552.0000
87.4437,2434.5256,10608.0000
87.4414,2434.5256,10616.0000
87.4390,2434.5256,10528.0000
87.4366,1527.9891,10640.0000
87.4342,1527.9891,10512.0000
87.4318,2005.1513,10664.0000
87.4295,2005.1513,10656.0000
87.4271,2005.1513,10512.0000
87.4247,1826.5025,10656.0000
87.4223,1826.5025,10528.0000
87.4198,2147.3621,10536.0000
87.4172,2147.3621,10360.0000
87.4145,2147.3621,10224.0000
87.4119,1887.7481,10552.0000
87.4090,1887.7481,10136.0000
87.4064,2170.7174,10568.0000
87.4035,2170.7174,10136.0000
87.4006,2291.6798,10168.0000
87.3979,3610.3105,10568.0000
87.3951,3610.3105,10176.0000
87.3922,3013.9066,10232.0000
87.3896,3927.6747,10616.0000
87.3868,3927.6747,10240.0000
87.3840,3178.4122,10272.0000
87.3813,4023.2832,10608.0000
87.3786,4023.2832,10328.0000
87.3759,4023.2832,10328.0000
87.3733,2815.5432,10640.0000
87.3707,2815.5432,10376.0000
87.3680,2815.5432,10416.0000
87.3655,2211.2856,10656.0000
87.3629,2211.2856,10408.0000
87.3602,2211.2856,10416.0000
87.3576,1900.1975,10528.0000
87.3550,1900.1975,10408.0000
87.3523,1900.1975,10360.0000
87.3496,1747.3774,10432.0000
87.3469,1747.3774,10416.0000
87.3441,1747.3774,10136.0000
87.3413,1676.2998,10448.0000
87.3387,3215.5174,10464.0000
87.3358,3215.5174,10168.0000
87.3331,2792.7332,10480.0000
87.3305,3779.2101,10496.0000
87.3277,3779.2101,10232.0000
87.3251,3070.1961,10528.0000
87.3225,3879.0312,10568.0000
87.3198,3879.0312,10272.0000
87.3172,3120.0138,10560.0000
87.3147,3939.4485,10592.0000
87.3121,3939.4485,10328.0000
87.3095,3132.6502,10592.0000
87.3070,3930.2050,10600.0000
87.3045,3930.2050,10416.0000
87.3019,3143.5140,10600.0000
87.2995,3143.5140,10600.0000
87.2969,3143.5140,10416.0000
87.2944,2346.3703,10624.0000
87.2920,2346.3703,10624.0000
87.2894,2346.3703,10432.0000
87.2869,1947.7985,10616.0000
87.2845,1947.7985,10664.0000
87.2821,1947.7985,10632.0000
87.2796,1947.7985,10464.0000
87.2771,1552.1010,10608.0000
87.2746,1552.1010,10480.0000
87.2721,1930.0298,10496.0000
87.2694,1930.0298,10288.0000
87.2667,1930.0298,10184.0000
87.2639,1930.0298,10168.0000
87.2612,1541.1513,10560.0000
87.2585,1541.1513,10168.0000
87.2557,1541.1513,10200.0000
87.2531,1538.0943,10592.0000
87.2504,1538.0943,10240.0000
87.2477,1918.4284,10256.0000
